year,geo_abr,geo_name,question,value,topic,unit,break_out,indicator
2017,MA,Massachusetts,Prevention Programs,Yes,Programs,,School-based or school-linked sealant programs,Prevention Programs: School-based or school-linked sealant programs
2019,CT,Connecticut,"Statewide, broad-based oral health coalition",Yes,Leadership,,,"Statewide, broad-based oral health coalition"
2015,KY,Kentucky,Prevention Programs,Yes,Programs,,Fluoride varnish programs,Prevention Programs: Fluoride varnish programs
2014,OH,Ohio,State dental director/program manager position requirement,Yes,Leadership,,Public health experience,State dental director/program manager position requirement: Public health experience
2013,CA,California,Special populations programs,,Programs,,For pregnant women,Special populations programs: For pregnant women
2020,FL,Florida,"Statewide, broad-based oral health coalition",Yes,Leadership,,,"Statewide, broad-based oral health coalition"
2011,DE,Delaware,Special populations programs,,Programs,,For older adults,Special populations programs: For older adults
2013,ID,Idaho,Dental director position type,,Leadership,multiple choice,,Dental director position type
2018,MT,Montana,"Number of health agencies serving jurisdictions of 250,000+ population",1,Leadership,agencies,With a dental program,"Number of health agencies serving jurisdictions of 250,000+ population: With a dental program"
2020,OH,Ohio,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program,6,Staff,FTE,Total,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program: Total
2013,FL,Florida,Years in current dental director position,Vacant,Leadership,years,,Years in current dental director position
2019,NH,New Hampshire,"Number of health agencies serving jurisdictions of 250,000+ population",3,Leadership,agencies,With a dental program,"Number of health agencies serving jurisdictions of 250,000+ population: With a dental program"
2020,NE,Nebraska,Prevention Programs,Yes,Programs,,Early Childhood Caries (ECC) prevention programs,Prevention Programs: Early Childhood Caries (ECC) prevention programs
2018,WV,West Virginia,"Number of health agencies serving jurisdictions of 250,000+ population",1,Leadership,agencies,Total,"Number of health agencies serving jurisdictions of 250,000+ population: Total"
2018,IA,Iowa,"Number of health agencies serving jurisdictions of 250,000+ population",1,Leadership,agencies,With a dental program directed by a dental professional with graduate degree in public health,"Number of health agencies serving jurisdictions of 250,000+ population: With a dental program directed by a dental professional with graduate degree in public health"
2014,CA,California,Special populations programs,No,Programs,,For pregnant women,Special populations programs: For pregnant women
2013,MS,Mississippi,Requirement or mandate for a dental health screening or certificate at school entry,,Policies,,,Requirement or mandate for a dental health screening or certificate at school entry
2020,CO,Colorado,"Statewide, broad-based oral health coalition",Yes,Leadership,,,"Statewide, broad-based oral health coalition"
2011,WA,Washington,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program,3,Staff,FTE,Directly supervised by state health agency staff,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program: Directly supervised by state health agency staff
2011,CT,Connecticut,Oral health (open-mouth) surveys using Basic Screening Survey protocol,No,Programs,,,Oral health (open-mouth) surveys using Basic Screening Survey protocol
2018,AK,Alaska,"Number of health agencies serving jurisdictions of 250,000+ population",0,Leadership,agencies,With a dental program directed by a dental professional with graduate degree in public health,"Number of health agencies serving jurisdictions of 250,000+ population: With a dental program directed by a dental professional with graduate degree in public health"
2012,TN,Tennessee,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program,,Staff,FTE,Not directly supervised by state health agency staff,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program: Not directly supervised by state health agency staff
2018,NJ,New Jersey,"Number of health agencies serving jurisdictions of 250,000+ population",3,Leadership,agencies,With a dental program directed by a dental professional,"Number of health agencies serving jurisdictions of 250,000+ population: With a dental program directed by a dental professional"
2011,DE,Delaware,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program,19,Staff,FTE,Directly supervised by state health agency staff,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program: Directly supervised by state health agency staff
2011,UT,Utah,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program,1.2,Staff,FTE,Directly supervised by state health agency staff,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program: Directly supervised by state health agency staff
2013,OK,Oklahoma,Prevention Programs,No,Programs,,School-based or school-linked sealant programs,Prevention Programs: School-based or school-linked sealant programs
2016,WA,Washington,Dental director position type,Civil Service,Leadership,multiple choice,,Dental director position type
2018,ND,North Dakota,Statutory requirement or authority,No,Leadership,,For state dental director,Statutory requirement or authority: For state dental director
2013,SC,South Carolina,"Statewide, broad-based oral health coalition",,Leadership,,,"Statewide, broad-based oral health coalition"
2017,NH,New Hampshire,Statutory requirement or authority,No,Leadership,,For oral health program,Statutory requirement or authority: For oral health program
2016,MT,Montana,Oral health (open-mouth) surveys using Basic Screening Survey protocol,Yes,Programs,,,Oral health (open-mouth) surveys using Basic Screening Survey protocol
2018,NC,North Carolina,Statutory requirement or authority,Yes,Leadership,,For state dental director,Statutory requirement or authority: For state dental director
